hora,dia,feriado,estação,temperatura,chuva,umidade,sol,visibilidade,vento
18,segunda,não,primavera,23.0,0.0,59.6,0.35,34.0%,2.65
23,quarta,não,primavera,28.1,0.0,58.8,0.0,78.0%,2.05
11,quarta,não,verão,38.5,0.0,58.1,2.77,56.0%,2.89
23,sábado,sim,inverno,16.4,0.0,41.5,0.0,97.0%,4.81
13,terça,não,outono,24.9,0.0,43.0,2.3,94.0%,2.41
18,sábado,não,primavera,25.4,0.0,49.8,0.31,64.0%,3.61
4,quarta,não,verão,31.1,0.58,91.2,0.0,11.0%,1.45
23,quarta,não,primavera,19.3,0.0,83.0,0.0,73.0%,1.69
8,sexta,não,inverno,12.0,0.0,60.3,0.01,96.0%,4.45
12,terça,não,primavera,25.5,0.0,82.2,0.52,19.0%,1.33
10,domingo,não,inverno,14.1,0.0,50.5,0.43,91.0%,1.45
22,terça,não,primavera,25.7,0.0,43.7,0.0,74.0%,1.69
2,segunda,não,inverno,17.4,0.0,49.0,0.0,77.0%,1.57
18,quarta,não,outono,21.9,0.0,61.8,0.0,97.0%,0.49
14,sexta,não,outono,32.6,0.58,75.4,1.5,97.0%,1.93
6,terça,não,outono,30.1,0.0,76.2,0.0,86.0%,0.49
5,domingo,não,outono,23.1,0.0,69.4,0.0,85.0%,3.25
20,sexta,sim,inverno,22.3,0.0,68.6,0.0,38.0%,1.81
9,domingo,não,primavera,22.5,0.0,73.1,0.79,11.0%,1.81
19,segunda,não,outono,35.1,0.0,55.0,0.18,97.0%,3.97
7,domingo,não,primavera,29.5,0.0,73.1,0.01,67.0%,1.45
22,segunda,não,inverno,20.1,0.0,48.3,0.0,53.0%,1.45
12,domingo,não,primavera,30.5,0.0,67.1,2.4,73.0%,1.69
19,quinta,não,inverno,19.4,0.0,58.1,0.0,97.0%,5.05
5,sábado,não,inverno,14.6,0.0,72.4,0.0,32.0%,2.65
20,terça,sim,outono,31.2,0.0,52.0,0.0,97.0%,0.73
6,quarta,não,primavera,19.3,0.0,49.8,0.0,97.0%,2.29
17,quarta,não,inverno,19.7,0.0,55.8,0.15,70.0%,2.65
1,domingo,não,inverno,15.1,0.0,51.3,0.0,70.0%,1.57
2,sexta,não,verão,36.9,0.0,77.7,0.0,51.0%,1.93
10,terça,não,primavera,27.5,0.0,47.5,2.09,81.0%,3.01
8,domingo,não,primavera,30.5,0.0,56.6,0.7,67.0%,2.65
19,quarta,não,outono,27.5,0.0,79.2,0.0,37.0%,2.05
8,sexta,não,outono,26.4,0.58,79.2,0.0,34.0%,1.21
21,quinta,não,inverno,17.8,0.0,79.2,0.0,82.0%,1.21
5,terça,não,inverno,16.4,0.0,76.2,0.0,89.0%,1.21
15,sexta,não,verão,39.6,0.0,35.4,2.57,96.0%,2.41
6,sábado,não,verão,34.3,0.0,81.4,0.05,96.0%,0.37
16,sábado,não,primavera,22.4,0.0,67.1,0.21,71.0%,2.05
12,domingo,não,verão,37.6,0.0,49.8,2.5,96.0%,2.65
9,quarta,não,primavera,20.6,0.0,46.0,1.07,81.0%,4.57
11,domingo,não,inverno,21.7,0.0,83.7,0.25,16.0%,1.93
2,terça,não,primavera,31.8,0.0,60.3,0.0,73.0%,3.01
16,sexta,não,verão,41.7,0.0,59.6,1.56,41.0%,3.61
6,segunda,não,primavera,28.3,0.0,66.4,0.0,21.0%,0.85
2,terça,não,verão,35.7,0.0,56.6,0.0,37.0%,2.29
1,terça,não,inverno,19.7,0.0,51.3,0.0,54.0%,1.33
7,sexta,não,outono,28.0,0.0,64.9,0.03,97.0%,2.05
11,quarta,não,outono,24.1,0.0,49.0,1.96,93.0%,3.37
0,terça,não,outono,26.3,20.74,90.5,0.0,58.0%,3.97
0,quinta,não,primavera,23.4,10.37,84.5,0.0,96.0%,3.25
5,domingo,não,inverno,15.5,0.0,77.7,0.0,22.0%,1.69
10,terça,sim,outono,30.3,0.0,51.3,1.99,97.0%,1.81
9,quinta,não,outono,32.9,0.0,66.4,0.52,97.0%,2.17
22,sábado,não,verão,35.1,0.0,73.1,0.0,88.0%,3.25
22,terça,não,primavera,24.7,0.0,87.5,0.0,35.0%,3.25
0,sexta,não,verão,36.1,0.0,78.4,0.0,71.0%,1.93
2,domingo,não,outono,31.0,0.0,60.3,0.0,97.0%,1.33
8,segunda,não,primavera,20.9,0.0,53.5,0.06,60.0%,1.21
16,terça,não,outono,27.9,0.0,62.6,0.72,42.0%,4.57
22,terça,não,inverno,15.7,0.0,57.3,0.0,91.0%,1.69
6,domingo,não,primavera,28.2,0.0,66.4,0.02,97.0%,2.05
14,segunda,não,verão,38.2,0.0,45.2,2.63,67.0%,2.65
2,sexta,não,inverno,18.1,0.0,51.3,0.0,63.0%,2.29
17,domingo,não,verão,40.1,0.0,43.0,1.18,97.0%,3.25
17,terça,não,verão,38.9,0.0,57.3,1.49,95.0%,3.01
21,terça,não,inverno,14.6,0.0,39.2,0.0,97.0%,5.17
21,quinta,não,outono,24.5,0.0,58.8,0.0,96.0%,1.57
9,sábado,não,outono,18.5,10.48,91.2,0.0,2.0%,3.85
1,sexta,sim,inverno,15.9,0.0,44.5,0.0,95.0%,2.65
6,quarta,não,inverno,10.7,0.0,48.3,0.0,97.0%,3.01
11,segunda,não,inverno,21.5,0.0,74.7,0.54,26.0%,3.01
16,quinta,não,outono,31.3,0.0,74.7,0.38,97.0%,2.77
7,quinta,não,verão,34.1,0.0,74.7,0.36,42.0%,1.33
15,domingo,não,inverno,23.7,0.0,73.1,0.53,21.0%,2.17
0,segunda,não,primavera,25.5,2.3,89.0,0.0,23.0%,3.37
7,segunda,não,inverno,21.3,0.0,83.7,0.0,17.0%,1.45
21,quinta,não,verão,34.9,0.0,72.4,0.0,63.0%,1.93
2,quinta,não,verão,33.5,0.0,67.1,0.0,97.0%,2.41
9,domingo,não,outono,25.1,0.0,63.3,1.02,35.0%,1.21
16,sexta,não,verão,35.3,0.0,50.5,1.72,92.0%,4.09
19,segunda,não,primavera,27.9,0.0,46.0,0.1,61.0%,3.97
2,domingo,não,verão,32.3,0.0,83.7,0.0,11.0%,2.41
23,segunda,não,outono,21.2,0.0,61.8,0.0,97.0%,1.93
7,sábado,não,primavera,26.7,0.0,69.4,0.22,22.0%,1.57
16,sábado,não,primavera,21.8,0.0,33.9,1.97,84.0%,2.77
13,quarta,não,outono,36.5,0.0,52.8,2.92,97.0%,6.01
3,segunda,não,inverno,11.8,0.0,50.5,0.0,96.0%,3.61
22,quinta,não,verão,38.7,0.0,66.4,0.0,83.0%,1.69
4,quarta,não,outono,24.8,0.0,75.4,0.0,64.0%,0.25
22,quarta,sim,verão,37.4,0.0,68.6,0.0,97.0%,1.45
6,segunda,não,verão,35.8,0.0,66.4,0.01,97.0%,1.93
20,sexta,não,outono,31.7,0.0,79.9,0.0,97.0%,0.73
8,quarta,não,primavera,25.2,0.0,76.2,0.37,17.0%,1.09
5,sexta,não,inverno,19.0,0.0,86.7,0.0,13.0%,1.09
9,domingo,não,verão,33.2,0.0,83.0,0.42,97.0%,1.45
14,sexta,não,inverno,17.6,0.0,39.2,0.0,97.0%,0.25
6,domingo,não,primavera,29.5,0.0,73.9,0.0,62.0%,1.69
5,domingo,não,outono,33.1,0.0,86.0,0.0,25.0%,1.93
16,sexta,não,outono,32.7,0.0,76.9,0.51,97.0%,1.69
15,segunda,não,primavera,37.3,0.0,50.5,2.28,44.0%,3.97
6,sexta,não,verão,36.5,0.0,82.2,0.02,34.0%,0.37
5,quarta,não,primavera,25.1,0.0,78.4,0.0,18.0%,1.21
17,sexta,não,outono,35.3,0.0,51.3,0.84,97.0%,1.69
14,terça,não,outono,27.8,0.0,43.0,1.84,67.0%,2.05
11,domingo,não,inverno,15.2,0.0,45.2,1.0,97.0%,4.81
5,segunda,não,primavera,21.9,0.0,73.1,0.0,72.0%,1.21
0,domingo,sim,outono,29.8,0.0,70.1,0.0,97.0%,0.97
19,segunda,não,primavera,29.7,0.0,56.6,0.06,60.0%,3.25
20,sábado,não,outono,35.1,0.0,71.6,0.0,97.0%,4.57
16,quinta,não,outono,22.3,0.0,43.7,0.55,97.0%,3.73
12,sábado,sim,outono,32.6,0.0,48.3,2.53,96.0%,1.93
14,quarta,não,inverno,20.6,0.0,41.5,0.36,62.0%,1.93
13,quarta,não,primavera,32.3,0.0,51.3,2.66,87.0%,5.89
4,sábado,sim,outono,26.4,0.0,78.4,0.0,89.0%,1.69
21,segunda,não,verão,32.5,0.0,76.2,0.0,31.0%,2.29
23,sexta,não,outono,25.6,0.0,79.9,0.0,17.0%,0.37
21,quinta,não,primavera,25.3,0.0,90.5,0.0,24.0%,3.49
14,quinta,não,inverno,16.5,0.0,39.2,0.65,90.0%,1.09
5,sexta,não,primavera,21.8,0.0,63.3,0.0,97.0%,2.65
0,domingo,não,inverno,13.3,0.0,45.2,0.0,96.0%,3.01
23,quinta,não,inverno,14.4,0.0,58.8,0.0,96.0%,1.21
20,sexta,não,verão,33.4,0.0,56.6,0.06,97.0%,1.81
17,quinta,não,inverno,11.1,0.0,42.2,0.28,97.0%,5.05
21,quarta,não,outono,21.4,0.0,51.3,0.0,91.0%,1.57
15,domingo,não,inverno,23.4,0.0,49.0,0.74,95.0%,3.01
22,quarta,não,verão,33.9,2.88,92.0,0.0,28.0%,0.61
23,quinta,não,outono,26.7,0.0,62.6,0.0,78.0%,1.21
17,sexta,não,verão,41.7,0.0,58.1,1.78,79.0%,2.05
20,quarta,não,outono,23.4,0.0,62.6,0.0,97.0%,1.09
20,sexta,não,inverno,14.5,0.0,68.6,0.0,97.0%,3.37
12,sexta,não,outono,31.1,0.0,41.5,2.4,97.0%,0.85
7,sábado,não,inverno,14.4,0.0,61.1,0.0,82.0%,3.97
8,segunda,não,verão,34.2,0.0,67.9,0.74,47.0%,1.33
12,sexta,não,inverno,18.9,0.0,46.0,1.12,62.0%,2.05
15,terça,não,verão,38.2,0.0,36.2,3.0,94.0%,3.73
15,terça,não,outono,36.7,0.0,46.8,2.09,97.0%,1.93
17,terça,não,inverno,21.8,0.0,61.8,0.08,23.0%,1.21
2,sábado,não,outono,20.3,0.0,76.2,0.0,42.0%,2.41
21,segunda,não,primavera,25.3,1.15,89.0,0.0,79.0%,3.61
9,sábado,não,inverno,18.9,0.0,65.6,0.07,53.0%,1.33
18,domingo,não,inverno,13.1,0.0,50.5,0.0,97.0%,4.21
11,segunda,não,outono,25.7,0.0,52.8,1.97,95.0%,3.37
19,domingo,não,outono,23.6,0.0,52.0,0.0,78.0%,1.45
11,domingo,não,primavera,29.9,0.0,58.8,0.51,90.0%,1.33
7,quarta,sim,verão,31.2,0.0,65.6,0.46,45.0%,1.09
16,quinta,não,verão,35.1,0.0,79.2,0.5,47.0%,4.57
21,terça,não,verão,40.1,0.0,56.6,0.0,97.0%,3.61
8,terça,não,inverno,10.9,0.0,64.1,0.01,96.0%,1.09
16,domingo,sim,inverno,19.9,0.0,86.7,0.07,13.0%,4.21
17,sábado,não,primavera,26.4,0.0,43.7,0.81,60.0%,3.25
15,domingo,não,inverno,21.7,0.0,30.2,1.42,96.0%,2.65
4,sexta,não,verão,34.7,1.15,84.5,0.0,70.0%,2.65
18,quarta,não,primavera,19.7,0.0,76.2,0.07,97.0%,1.81
10,sábado,não,primavera,17.1,0.0,40.7,1.59,78.0%,2.77
9,terça,não,verão,31.9,7.49,90.5,0.06,7.0%,1.57
8,quarta,não,verão,37.5,0.0,70.9,0.52,72.0%,4.45
20,sexta,não,outono,20.1,0.0,38.5,0.0,97.0%,1.69
23,sexta,não,verão,31.9,1.15,90.5,0.0,55.0%,0.97
3,terça,não,primavera,23.7,0.0,71.6,0.0,18.0%,1.33
21,sexta,sim,inverno,18.4,0.0,68.6,0.0,71.0%,3.25
3,quarta,sim,primavera,19.4,0.12,91.2,0.0,23.0%,3.01
21,domingo,não,outono,21.5,0.0,79.2,0.0,21.0%,1.45
12,segunda,não,verão,36.3,0.0,69.4,1.2,85.0%,1.57
17,quarta,não,verão,40.5,0.0,60.3,1.03,70.0%,2.89
4,quarta,não,primavera,30.5,0.0,81.4,0.0,20.0%,1.33
13,quinta,não,primavera,32.9,0.0,43.7,2.77,91.0%,6.37
2,sexta,não,inverno,13.7,0.0,49.8,0.0,97.0%,2.17
1,terça,não,primavera,22.3,0.0,67.1,0.0,29.0%,1.45
15,terça,não,verão,33.1,0.0,63.3,0.34,93.0%,1.81
13,quarta,não,inverno,18.3,0.0,40.7,1.17,94.0%,6.73
18,quarta,não,inverno,21.7,0.0,43.7,0.09,70.0%,3.01
1,quinta,não,inverno,20.5,0.0,72.4,0.0,15.0%,2.53
2,quinta,não,primavera,22.5,0.0,85.2,0.0,71.0%,2.89
2,sábado,não,inverno,20.8,0.0,79.9,0.0,11.0%,2.17
13,quarta,não,primavera,32.2,0.0,35.4,3.18,71.0%,2.29
11,terça,não,verão,34.7,0.0,58.1,1.67,72.0%,1.93
23,quarta,não,verão,37.0,0.0,76.2,0.0,66.0%,2.53
11,domingo,não,verão,32.5,21.31,91.2,0.15,5.0%,1.69
11,quinta,não,outono,27.5,0.0,65.6,1.32,20.0%,2.89
20,segunda,não,primavera,30.6,0.0,62.6,0.04,72.0%,3.37
0,quinta,não,primavera,27.3,0.0,76.2,0.0,26.0%,2.05
13,quinta,não,inverno,10.7,0.0,38.5,1.26,97.0%,4.93
11,domingo,não,outono,31.8,0.0,65.6,1.25,58.0%,3.61
23,sexta,não,verão,38.1,0.0,75.4,0.0,56.0%,1.69
19,quinta,não,primavera,32.4,0.0,51.3,0.41,74.0%,3.37
1,quarta,não,primavera,24.3,0.0,52.0,0.0,71.0%,2.77
20,quarta,não,primavera,26.9,0.0,60.3,0.0,97.0%,2.65
7,quinta,não,outono,18.9,0.0,49.0,0.0,63.0%,0.97
23,quinta,não,inverno,17.3,0.0,77.7,0.0,40.0%,0.97
4,quarta,não,outono,22.9,0.0,70.9,0.0,64.0%,2.05
17,sábado,não,verão,36.3,0.0,63.3,0.77,97.0%,3.61
2,terça,não,verão,35.2,0.0,76.9,0.0,97.0%,1.45
20,quinta,não,primavera,27.7,0.0,52.8,0.01,94.0%,4.33
6,quinta,não,inverno,14.7,0.0,36.2,0.0,97.0%,0.85
2,quarta,não,verão,35.1,0.0,79.9,0.0,39.0%,0.73
10,sexta,sim,inverno,17.5,0.0,42.2,1.24,94.0%,2.05
23,quinta,não,outono,29.2,0.58,86.7,0.0,88.0%,2.41
11,segunda,não,inverno,13.7,0.0,39.2,1.56,89.0%,4.21
14,quinta,não,primavera,35.6,0.0,50.5,2.97,73.0%,3.49
6,sábado,não,verão,36.5,0.0,67.9,0.0,97.0%,1.33
5,terça,não,inverno,14.9,0.0,59.6,0.0,71.0%,2.05
7,quarta,não,outono,21.8,0.0,76.9,0.0,58.0%,0.61
23,sábado,não,primavera,32.1,0.0,65.6,0.0,55.0%,1.21
9,quinta,não,primavera,30.9,0.0,62.6,1.9,60.0%,2.17
20,terça,não,primavera,35.9,0.0,58.1,0.0,44.0%,1.45
13,sexta,não,verão,35.2,0.0,54.3,3.42,94.0%,2.41
4,terça,não,outono,19.4,0.0,65.6,0.0,97.0%,0.61
20,sábado,não,inverno,13.9,0.0,46.0,0.0,97.0%,4.33
16,sábado,não,verão,38.3,0.0,43.7,2.46,93.0%,4.09
6,quarta,não,verão,34.7,0.58,91.2,0.0,14.0%,0.37
19,quinta,não,primavera,29.9,0.0,77.7,0.03,30.0%,3.01
14,terça,não,inverno,20.8,0.0,47.5,2.19,93.0%,4.81
15,terça,não,inverno,17.1,0.0,30.9,0.93,97.0%,6.25
15,domingo,não,inverno,16.9,0.0,40.7,2.22,94.0%,4.93
11,terça,não,verão,33.8,0.0,57.3,1.53,97.0%,1.93
6,quarta,não,outono,23.7,0.0,84.5,0.0,40.0%,1.33
1,sexta,não,verão,33.9,0.0,53.5,0.0,97.0%,2.77
15,segunda,não,verão,34.6,0.0,83.7,1.44,56.0%,2.05
16,terça,não,verão,43.0,0.0,46.8,2.07,97.0%,1.69
21,terça,não,inverno,21.2,0.0,60.3,0.0,21.0%,1.09
4,terça,não,outono,19.2,0.0,54.3,0.0,97.0%,0.85
12,segunda,não,outono,28.1,0.0,46.8,2.55,92.0%,1.45
11,domingo,não,inverno,14.3,0.0,37.0,1.28,96.0%,3.61
13,quinta,não,primavera,33.9,0.0,80.7,1.5,95.0%,2.29
23,quinta,não,outono,32.1,0.0,57.3,0.0,97.0%,1.93
5,domingo,não,primavera,27.3,0.0,92.0,0.0,5.0%,1.21
10,terça,não,outono,25.9,0.0,69.4,0.44,97.0%,5.89
3,terça,não,outono,31.5,0.0,63.3,0.0,97.0%,2.53
17,segunda,sim,outono,32.7,0.0,42.2,1.2,97.0%,3.97
1,domingo,não,inverno,13.3,0.0,52.0,0.0,90.0%,3.13
19,sexta,não,outono,24.1,0.0,76.9,0.0,22.0%,3.25
7,quinta,não,outono,24.7,0.0,83.0,0.0,14.0%,0.97
14,domingo,não,outono,30.9,0.0,41.5,2.37,94.0%,3.37
22,terça,não,primavera,19.7,0.0,46.0,0.0,97.0%,3.49
15,sábado,não,verão,37.5,0.0,49.8,2.98,97.0%,1.81
22,domingo,não,outono,32.6,0.0,83.7,0.0,26.0%,3.13
19,segunda,não,verão,39.1,0.0,57.3,0.57,97.0%,3.13
7,sábado,não,verão,30.6,0.0,69.4,0.04,97.0%,0.97
19,segunda,sim,inverno,17.1,0.0,49.0,0.0,97.0%,2.77
7,sábado,não,primavera,26.9,0.0,59.6,0.29,95.0%,3.01
15,sexta,não,outono,36.1,0.0,59.6,1.1,97.0%,2.41
3,sexta,não,inverno,13.7,0.0,47.5,0.0,97.0%,2.65
1,segunda,não,verão,38.3,0.0,70.9,0.0,97.0%,1.45
18,quarta,sim,primavera,17.8,0.0,48.3,0.43,70.0%,5.89
2,quinta,não,primavera,26.1,0.0,72.4,0.0,45.0%,0.97
16,domingo,não,outono,24.6,0.0,47.5,0.56,83.0%,2.41
0,sábado,não,outono,29.4,0.0,70.1,0.0,97.0%,1.45
0,segunda,não,verão,32.0,0.0,82.2,0.0,97.0%,1.45
1,sexta,não,verão,34.1,0.0,66.4,0.0,97.0%,1.21
22,terça,não,outono,22.7,0.0,43.0,0.0,35.0%,2.77
14,sábado,não,inverno,21.2,0.0,63.3,0.4,13.0%,1.69
12,quarta,não,primavera,31.7,0.0,46.0,3.44,93.0%,5.05
21,quinta,não,outono,26.7,0.0,63.3,0.0,97.0%,0.85
22,segunda,não,primavera,25.5,0.0,43.0,0.0,97.0%,1.33
1,segunda,não,primavera,23.1,0.58,89.7,0.0,33.0%,0.49
5,sábado,não,primavera,19.0,0.0,64.9,0.0,97.0%,1.33
4,sexta,não,outono,32.1,0.0,75.4,0.0,97.0%,1.45
18,segunda,não,outono,36.2,0.0,58.1,0.8,97.0%,3.37
7,quarta,não,outono,22.7,0.0,82.2,0.0,26.0%,1.21
5,sexta,não,primavera,24.4,0.0,43.7,0.0,97.0%,1.33
22,sexta,não,outono,26.1,0.0,79.2,0.0,16.0%,1.69
5,sexta,não,verão,34.7,0.58,84.5,0.0,96.0%,2.05
3,sábado,não,inverno,8.1,0.0,50.5,0.0,96.0%,1.21
19,segunda,não,verão,40.6,0.0,55.0,0.32,97.0%,3.37
15,sábado,não,inverno,15.9,0.0,37.7,1.04,85.0%,2.89
5,quarta,não,inverno,12.1,0.0,45.2,0.0,97.0%,2.53
22,sexta,não,primavera,30.5,0.0,58.8,0.0,68.0%,2.29
20,sábado,não,inverno,13.1,0.0,41.5,0.0,97.0%,1.93
23,quarta,não,verão,32.7,0.0,64.9,0.0,89.0%,0.37
5,terça,não,verão,36.5,0.0,81.4,0.0,52.0%,1.21
0,domingo,não,outono,24.2,0.0,65.6,0.0,64.0%,0.97
6,domingo,não,inverno,15.5,0.0,77.7,0.0,21.0%,1.57
17,quinta,não,primavera,33.9,0.0,46.8,1.76,92.0%,3.49
18,sábado,não,outono,23.1,0.0,48.3,0.01,97.0%,0.97
19,terça,não,verão,41.6,0.0,53.5,0.42,97.0%,3.13
6,quarta,não,outono,29.2,0.0,64.9,0.0,97.0%,2.77
20,sábado,não,verão,35.0,0.0,47.5,0.06,97.0%,3.61
23,segunda,não,outono,21.1,0.0,49.8,0.0,66.0%,2.89
3,sexta,não,verão,35.8,0.0,80.7,0.0,63.0%,0.61
7,quinta,não,inverno,18.1,0.0,87.5,0.0,6.0%,1.57
15,domingo,não,inverno,21.4,0.0,55.8,0.62,40.0%,1.33
19,sexta,não,verão,39.8,0.0,67.1,0.1,92.0%,1.21
15,sexta,não,inverno,18.4,0.0,44.5,0.42,46.0%,2.05
2,sexta,não,inverno,14.7,0.0,60.3,0.0,63.0%,1.93
6,terça,não,inverno,14.9,0.0,58.8,0.0,66.0%,1.81
2,segunda,não,primavera,25.1,1.04,86.0,0.0,24.0%,2.89
10,domingo,não,verão,39.9,0.0,54.3,2.33,95.0%,2.53
9,quarta,não,inverno,16.1,0.0,76.2,0.1,45.0%,1.69
12,terça,não,outono,24.5,0.0,64.1,0.85,19.0%,2.05
3,terça,não,outono,20.7,0.0,83.0,0.0,14.0%,1.93
3,sexta,não,inverno,18.7,0.0,66.4,0.0,36.0%,0.73
16,domingo,não,verão,40.2,0.0,57.3,2.28,88.0%,3.85
19,terça,não,verão,34.3,8.06,92.0,0.0,87.0%,1.21
1,quarta,não,outono,22.7,0.0,67.9,0.0,97.0%,1.45
15,terça,não,outono,31.6,0.0,41.5,1.57,79.0%,2.65
4,quinta,não,primavera,27.9,0.0,82.2,0.0,70.0%,1.21
9,sábado,não,verão,36.3,0.0,70.9,1.15,68.0%,1.57
11,segunda,não,verão,39.3,0.0,56.6,2.83,73.0%,2.77
13,sábado,não,primavera,19.9,0.0,34.7,2.83,79.0%,3.97
12,quarta,não,verão,34.4,0.0,73.1,2.15,48.0%,2.89
21,quarta,não,inverno,19.5,0.0,38.5,0.0,84.0%,3.97
14,segunda,não,outono,29.3,0.0,42.2,2.43,90.0%,1.93
22,quarta,não,outono,26.1,0.0,71.6,0.0,91.0%,0.49
18,quinta,não,verão,36.5,0.0,49.8,0.19,97.0%,1.69
3,quinta,não,inverno,12.6,0.0,66.4,0.0,85.0%,1.33
23,sábado,não,primavera,29.7,0.0,46.0,0.0,97.0%,1.81
18,sábado,não,outono,29.3,0.0,46.8,0.14,61.0%,2.17
13,terça,não,outono,25.7,0.0,63.3,0.85,20.0%,1.33
5,segunda,não,verão,37.2,0.0,69.4,0.0,97.0%,0.61
19,domingo,não,primavera,25.7,0.0,64.9,0.19,81.0%,2.77
16,segunda,não,verão,39.9,0.0,52.0,0.98,94.0%,3.61
10,domingo,não,inverno,18.1,0.0,61.1,0.8,64.0%,2.17
19,domingo,não,verão,35.5,0.58,80.7,0.08,49.0%,1.57
11,quinta,não,inverno,15.3,0.0,45.2,0.77,85.0%,4.09
1,quinta,não,primavera,24.5,0.0,52.0,0.0,62.0%,1.21
10,quarta,sim,verão,34.5,0.0,58.1,2.37,46.0%,3.73
12,quarta,não,verão,38.4,0.0,66.4,2.54,97.0%,1.69
21,quarta,não,outono,24.9,0.0,55.8,0.0,97.0%,1.69
21,quarta,não,verão,33.9,1.15,92.0,0.0,51.0%,0.73
1,quarta,não,verão,34.7,0.0,77.7,0.0,92.0%,0.97
20,sexta,não,verão,36.3,0.0,78.4,0.09,88.0%,2.05
2,quinta,não,outono,23.1,0.0,69.4,0.0,53.0%,0.97
0,domingo,não,inverno,17.6,0.0,51.3,0.0,85.0%,1.69
1,sábado,não,primavera,19.9,0.0,52.8,0.0,97.0%,2.29
10,sexta,não,primavera,29.0,0.0,40.0,1.79,83.0%,1.93
7,sexta,sim,inverno,18.1,0.0,72.4,0.0,45.0%,1.09
23,quarta,não,verão,39.1,0.0,55.8,0.0,97.0%,2.41
21,quarta,não,verão,32.9,0.0,68.6,0.0,72.0%,0.25
9,sábado,não,primavera,21.7,0.0,52.8,1.34,92.0%,3.49
16,terça,não,verão,35.0,2.88,91.2,0.17,58.0%,1.09
0,sábado,não,inverno,16.0,0.0,55.0,0.0,92.0%,3.37
13,segunda,não,verão,41.5,0.0,50.5,2.05,97.0%,1.81
21,domingo,não,primavera,24.7,0.0,67.9,0.0,90.0%,2.29
4,domingo,não,primavera,22.3,0.0,81.4,0.0,46.0%,2.29
0,segunda,não,primavera,23.0,0.58,79.2,0.0,21.0%,1.57
10,quarta,não,inverno,16.8,0.0,65.6,0.22,63.0%,2.29
12,sexta,não,inverno,15.7,0.0,39.2,2.12,94.0%,3.73
19,quinta,não,outono,28.3,0.0,55.0,0.0,97.0%,2.77
