hora,dia,feriado,estação,temperatura,chuva,umidade,sol,visibilidade,vento,aluguéis
19,terça,não,inverno,19.9,0.0,61.1,0.0,97.0%,4.09,412
8,quinta,não,verão,33.8,0.0,63.3,0.58,97.0%,2.29,2283
18,quinta,não,outono,18.3,0.0,52.8,0.0,76.0%,1.33,1587
13,sábado,não,primavera,33.5,0.0,44.5,2.51,87.0%,4.33,1423
23,domingo,não,primavera,27.0,0.0,85.2,0.0,16.0%,1.81,827
0,terça,não,primavera,22.5,0.0,49.8,0.0,97.0%,4.21,303
3,quarta,não,outono,20.7,0.0,46.8,0.0,44.0%,2.17,177
9,domingo,não,outono,23.6,0.0,61.8,0.8,50.0%,1.81,6
18,domingo,não,verão,33.1,4.03,90.5,0.09,33.0%,1.69,30
10,quarta,não,verão,38.8,0.0,64.1,1.5,74.0%,3.61,705
6,sexta,não,outono,30.1,1.73,89.7,0.0,47.0%,2.29,36
19,segunda,não,verão,40.1,0.0,61.8,0.45,96.0%,4.09,2123
14,segunda,não,primavera,37.5,0.0,45.2,3.21,90.0%,3.37,1139
2,domingo,não,verão,32.0,0.0,75.4,0.0,48.0%,1.57,768
13,sexta,não,primavera,29.5,0.58,88.2,0.72,67.0%,1.45,519
23,sexta,não,verão,31.9,0.0,76.2,0.0,38.0%,1.81,1296
16,quarta,não,inverno,21.1,0.0,85.2,0.07,23.0%,3.25,16
9,quarta,não,verão,35.4,0.0,90.5,0.41,22.0%,0.97,639
9,quinta,não,verão,40.3,0.0,55.8,1.49,84.0%,2.29,792
10,sexta,não,outono,26.9,0.0,81.4,0.27,26.0%,1.45,201
12,quarta,sim,primavera,18.7,0.0,52.8,2.49,57.0%,5.89,326
7,terça,não,primavera,19.8,0.0,67.1,0.0,97.0%,2.53,606
3,sexta,não,verão,34.9,0.0,83.0,0.0,53.0%,2.65,392
13,sexta,não,outono,31.8,0.0,39.2,2.25,97.0%,1.81,1310
14,domingo,não,inverno,23.2,0.0,44.5,0.99,95.0%,1.81,626
3,sábado,não,inverno,17.6,0.0,80.7,0.0,12.0%,1.21,135
14,quinta,não,outono,30.8,0.0,47.5,1.66,97.0%,1.81,1137
16,sexta,não,primavera,31.4,0.0,58.8,2.41,56.0%,4.93,12
14,sexta,não,primavera,23.7,0.0,89.7,0.35,25.0%,2.05,60
3,quinta,não,verão,36.8,0.0,75.4,0.0,67.0%,0.49,362
4,terça,não,verão,36.9,0.0,68.6,0.0,97.0%,0.49,223
1,sábado,não,primavera,20.3,0.0,57.3,0.0,97.0%,1.09,374
9,sábado,não,primavera,20.9,0.0,76.2,0.65,13.0%,2.65,294
14,sábado,não,verão,37.8,0.0,57.3,2.68,85.0%,3.97,1276
22,quinta,não,inverno,15.7,0.0,49.0,0.0,71.0%,0.73,245
12,quinta,não,primavera,32.0,0.0,46.0,2.94,86.0%,5.77,1031
20,terça,não,outono,36.3,0.0,55.0,0.0,97.0%,2.77,1446
9,sábado,não,inverno,13.5,0.0,53.5,0.18,84.0%,3.61,201
3,sábado,não,verão,37.3,0.0,64.9,0.0,97.0%,2.17,400
23,sexta,não,outono,21.7,0.0,74.7,0.0,41.0%,1.57,700
23,domingo,sim,inverno,16.6,0.0,48.3,0.0,97.0%,0.97,238
20,segunda,não,inverno,20.8,0.0,61.8,0.0,23.0%,1.81,332
10,segunda,não,outono,23.3,0.0,58.1,1.0,44.0%,1.21,661
23,quarta,não,verão,36.3,0.0,77.7,0.0,75.0%,0.37,1312
23,terça,não,primavera,34.9,0.0,63.3,0.0,39.0%,1.45,853
7,domingo,não,primavera,24.2,0.0,82.2,0.11,21.0%,1.57,11
10,segunda,não,verão,35.7,0.0,58.1,2.14,27.0%,1.33,828
22,sábado,não,primavera,29.5,0.0,39.2,0.0,97.0%,1.45,1299
1,sábado,não,verão,37.7,0.0,77.7,0.0,47.0%,1.81,888
4,segunda,não,verão,30.7,0.0,79.9,0.0,52.0%,2.65,266
13,sexta,não,primavera,32.1,0.0,52.8,3.26,53.0%,3.73,9
14,terça,não,outono,38.1,0.0,49.8,2.37,97.0%,1.93,1382
13,terça,não,primavera,29.3,0.0,89.0,0.78,95.0%,1.33,220
19,segunda,não,outono,28.7,0.0,51.3,0.0,40.0%,2.05,1872
7,sábado,não,outono,30.4,0.0,90.5,0.04,27.0%,1.33,376
20,quarta,não,verão,34.0,27.65,91.2,0.04,88.0%,0.37,72
7,sexta,não,verão,33.0,0.0,55.0,0.23,97.0%,2.29,1280
15,sábado,não,inverno,22.8,0.0,36.2,1.95,75.0%,3.49,479
13,sábado,não,outono,37.0,0.0,57.3,1.85,80.0%,3.01,1060
6,terça,não,verão,30.1,0.0,69.4,0.05,41.0%,1.81,351
3,quarta,sim,verão,37.7,0.0,70.9,0.0,95.0%,0.61,480
3,sábado,não,inverno,16.1,0.0,68.6,0.0,69.0%,4.09,61
18,quarta,não,inverno,14.9,0.0,42.2,0.0,97.0%,2.89,476
6,quarta,não,outono,31.0,0.0,75.4,0.0,72.0%,0.61,5
2,terça,não,outono,21.5,0.0,67.9,0.0,97.0%,2.17,201
21,terça,não,primavera,23.6,0.0,60.3,0.0,96.0%,1.93,426
11,sábado,não,inverno,11.9,0.0,43.0,0.9,85.0%,1.57,131
10,domingo,não,verão,38.4,0.0,67.1,1.11,97.0%,1.69,644
12,sexta,não,verão,37.2,0.0,69.4,1.35,75.0%,2.53,1026
15,terça,não,outono,26.7,0.0,70.9,0.68,18.0%,2.77,681
3,sexta,não,verão,33.2,0.12,90.5,0.0,14.0%,1.69,232
12,quarta,não,inverno,14.7,0.0,33.9,1.08,95.0%,2.77,239
8,terça,não,inverno,14.7,0.0,60.3,0.01,94.0%,1.09,235
5,terça,não,inverno,11.3,0.0,52.8,0.0,97.0%,3.85,50
12,segunda,não,primavera,35.9,0.0,51.3,3.24,97.0%,2.41,1149
19,domingo,sim,outono,32.3,0.0,58.8,0.01,97.0%,3.73,1347
20,sábado,não,outono,27.5,0.0,56.6,0.0,95.0%,1.45,1279
20,terça,não,inverno,12.7,0.0,49.8,0.0,97.0%,1.45,268
18,domingo,não,verão,36.4,0.0,48.3,1.0,88.0%,3.61,3236
21,sexta,não,outono,34.8,0.0,64.1,0.0,97.0%,2.17,1265
20,quinta,não,verão,36.9,0.0,53.5,0.01,97.0%,2.53,2119
9,quinta,não,verão,38.1,0.0,61.8,1.68,95.0%,1.81,686
22,quinta,não,inverno,18.3,0.0,65.6,0.0,47.0%,1.81,298
4,quarta,não,verão,34.7,0.0,91.2,0.0,15.0%,1.45,86
16,segunda,não,verão,44.6,0.0,47.5,2.42,92.0%,3.25,566
14,terça,não,primavera,30.5,0.0,50.5,2.43,74.0%,2.89,716
23,sexta,não,verão,34.2,0.0,79.2,0.0,92.0%,0.97,1338
13,sábado,não,verão,41.0,0.0,53.5,2.24,97.0%,1.93,711
20,sexta,não,outono,32.7,0.58,91.2,0.0,97.0%,0.61,160
16,terça,não,inverno,17.1,0.0,41.5,0.56,97.0%,3.97,224
14,sexta,não,inverno,19.5,0.0,40.0,1.14,82.0%,2.65,384
23,sexta,não,primavera,28.7,0.0,38.5,0.0,97.0%,4.45,864
6,terça,não,outono,27.1,0.0,73.1,0.0,93.0%,1.57,10
1,quinta,não,primavera,19.4,0.0,82.2,0.0,46.0%,2.65,261
21,domingo,não,primavera,26.3,2.88,83.0,0.0,33.0%,3.01,37
18,quinta,não,primavera,31.1,0.0,53.5,0.57,46.0%,3.13,1785
13,domingo,não,primavera,25.4,0.0,50.5,1.07,34.0%,1.81,888
20,sexta,sim,primavera,32.1,0.0,72.4,0.0,29.0%,1.81,1667
2,segunda,não,verão,37.0,0.0,61.1,0.0,97.0%,1.69,375
7,sexta,não,verão,36.7,0.0,78.4,0.27,38.0%,1.45,1121
15,quarta,não,outono,22.1,0.0,58.1,0.22,97.0%,2.65,555
8,quarta,não,inverno,10.7,0.0,53.5,0.0,97.0%,4.21,602
18,sexta,não,verão,40.9,0.0,49.8,1.25,96.0%,2.65,2431
17,quarta,não,inverno,17.7,0.0,43.7,0.28,97.0%,3.61,286
16,sexta,não,primavera,35.5,0.0,40.7,2.07,29.0%,4.33,1212
6,quinta,não,primavera,24.3,0.0,61.1,0.0,93.0%,2.29,526
5,sexta,sim,inverno,15.0,0.0,51.3,0.0,96.0%,1.33,38
18,sábado,não,verão,39.1,0.0,59.6,1.05,92.0%,2.89,1639
6,quarta,não,primavera,30.7,0.0,81.4,0.01,15.0%,1.09,520
2,domingo,não,primavera,28.7,0.0,67.1,0.0,95.0%,1.81,294
4,terça,não,verão,35.2,0.46,70.9,0.0,45.0%,8.53,56
5,quarta,não,primavera,30.6,0.0,81.4,0.0,17.0%,0.97,249
4,domingo,não,inverno,15.7,0.0,77.7,0.0,22.0%,1.69,54
10,segunda,não,outono,24.7,0.0,50.5,1.49,94.0%,2.41,785
22,sábado,não,outono,26.6,0.0,90.5,0.0,27.0%,3.49,21
12,segunda,sim,inverno,17.3,0.0,43.0,1.18,91.0%,3.25,230
1,domingo,não,verão,31.9,9.79,91.2,0.0,9.0%,0.61,54
14,terça,não,primavera,24.9,0.0,46.8,0.93,93.0%,1.33,512
18,quinta,não,inverno,11.4,0.0,50.5,0.02,97.0%,3.01,362
8,segunda,não,outono,24.8,0.0,61.8,0.22,76.0%,0.97,2124
11,segunda,não,verão,32.9,0.0,66.4,1.03,66.0%,3.13,1100
4,terça,não,outono,30.5,0.0,76.9,0.0,93.0%,0.73,11
23,quarta,não,inverno,12.2,0.0,51.3,0.0,96.0%,0.73,186
16,quinta,não,verão,36.1,0.0,58.8,1.24,97.0%,3.01,1646
7,segunda,não,primavera,26.6,0.0,79.9,0.1,15.0%,1.45,1164
17,domingo,não,primavera,26.2,0.0,63.3,0.6,71.0%,3.73,50
7,terça,não,outono,20.7,0.0,80.7,0.0,17.0%,1.33,820
18,terça,não,primavera,26.0,0.0,79.2,0.07,72.0%,2.05,443
1,quarta,não,primavera,25.9,0.0,61.8,0.0,97.0%,1.81,42
12,domingo,não,outono,29.3,0.0,46.0,2.14,52.0%,2.41,7
13,terça,não,verão,42.1,0.0,46.8,2.5,91.0%,3.13,703
12,domingo,não,inverno,19.8,0.0,30.9,1.75,96.0%,1.45,277
5,sexta,não,outono,28.0,0.0,63.3,0.0,97.0%,1.93,5
12,sábado,não,outono,27.1,0.0,41.5,2.58,97.0%,4.81,978
23,quinta,não,outono,30.1,0.0,56.6,0.0,97.0%,1.93,1231
6,domingo,não,inverno,17.8,0.0,51.3,0.0,75.0%,0.97,65
5,sexta,não,outono,23.7,0.0,81.4,0.0,28.0%,1.09,171
3,sábado,não,inverno,10.6,0.0,44.5,0.0,97.0%,4.09,49
13,segunda,não,verão,40.3,0.0,56.6,3.09,54.0%,3.25,739
2,segunda,não,inverno,18.2,0.0,43.0,0.0,97.0%,1.93,86
10,quinta,não,outono,20.9,0.0,39.2,0.49,79.0%,0.97,603
18,sábado,não,inverno,16.3,0.0,43.0,0.0,97.0%,1.69,766
5,terça,sim,outono,26.0,0.0,70.9,0.0,97.0%,0.85,116
9,segunda,não,outono,26.3,0.0,55.8,0.75,74.0%,1.57,1112
8,quarta,não,inverno,15.9,0.0,80.7,0.0,45.0%,2.29,282
17,quarta,não,verão,41.7,0.0,46.0,1.72,97.0%,3.37,1278
17,domingo,não,primavera,29.1,0.0,34.7,1.73,97.0%,5.17,6
19,quarta,não,outono,21.7,0.0,55.8,0.0,97.0%,1.09,1120
12,sexta,não,verão,35.0,0.0,60.3,3.19,35.0%,3.85,1113
17,segunda,não,verão,41.9,0.0,51.3,1.1,97.0%,1.21,1236
21,domingo,não,verão,39.1,0.0,53.5,0.0,97.0%,1.81,1651
18,quarta,não,primavera,31.1,0.0,58.1,0.58,97.0%,3.13,2108
23,terça,não,outono,31.3,0.0,64.9,0.0,97.0%,2.29,5
16,sábado,não,inverno,17.6,0.0,36.2,0.56,97.0%,4.33,414
10,domingo,não,inverno,21.3,0.0,85.2,0.24,13.0%,2.89,208
20,quinta,não,primavera,28.7,0.0,66.4,0.0,33.0%,3.49,1092
1,terça,não,verão,36.8,0.0,80.7,0.0,55.0%,3.49,772
12,sábado,não,verão,35.1,7.37,89.0,0.39,8.0%,3.61,864
11,sexta,não,outono,21.9,0.0,50.5,1.38,57.0%,2.41,651
16,domingo,não,outono,26.5,0.0,67.1,0.52,97.0%,2.53,395
3,terça,não,inverno,14.2,0.0,64.1,0.0,97.0%,1.81,80
17,quarta,não,verão,37.5,0.0,71.6,0.71,81.0%,3.73,1928
6,quarta,não,verão,31.1,0.0,91.2,0.0,8.0%,2.05,427
23,quarta,sim,verão,31.7,0.0,76.2,0.0,39.0%,3.97,1262
23,quarta,não,outono,22.6,0.0,63.3,0.0,94.0%,2.41,812
8,sábado,não,inverno,18.5,0.0,65.6,0.0,56.0%,0.73,201
7,sábado,não,inverno,14.0,0.0,61.1,0.0,87.0%,1.21,397
9,segunda,não,inverno,10.3,0.0,55.8,0.43,74.0%,1.81,242
5,domingo,não,primavera,28.3,0.0,66.4,0.0,97.0%,2.17,207
15,domingo,não,primavera,31.6,0.0,61.8,0.51,66.0%,3.25,972
1,domingo,não,verão,36.5,0.0,63.3,0.0,97.0%,1.21,782
5,sábado,não,verão,32.4,0.0,54.3,0.0,97.0%,0.61,354
3,domingo,não,outono,23.1,0.0,68.6,0.0,60.0%,0.97,7
7,quarta,não,primavera,27.4,0.0,74.7,0.47,97.0%,2.17,1250
11,quarta,não,primavera,22.1,0.0,61.8,2.08,34.0%,3.01,506
21,quarta,não,inverno,11.8,0.0,49.0,0.0,95.0%,4.93,183
21,domingo,não,verão,38.5,0.0,70.1,0.0,89.0%,2.89,1837
8,quinta,não,verão,34.7,0.0,90.5,0.19,43.0%,1.45,1345
8,domingo,não,verão,32.7,0.0,61.8,1.21,50.0%,1.57,2336
16,domingo,não,inverno,22.6,0.0,54.3,0.22,95.0%,3.37,626
6,domingo,não,primavera,17.7,0.0,76.2,0.0,77.0%,0.73,228
18,quarta,não,outono,26.5,0.0,53.5,0.01,70.0%,3.37,2206
16,terça,não,outono,29.1,0.0,70.9,0.83,44.0%,1.81,1307
10,domingo,não,inverno,17.5,0.0,43.7,0.32,58.0%,0.85,210
3,quinta,não,primavera,24.1,0.0,58.1,0.0,58.0%,2.05,217
21,quarta,sim,verão,33.1,0.0,72.4,0.0,45.0%,3.25,1942
7,sábado,sim,inverno,13.8,0.0,42.2,0.0,97.0%,2.17,48
0,terça,não,outono,21.9,0.0,66.4,0.0,97.0%,1.21,464
1,domingo,não,verão,32.3,0.0,77.7,0.0,45.0%,2.65,934
21,terça,não,verão,37.9,0.0,74.7,0.0,82.0%,4.57,1477
20,sexta,não,verão,33.9,0.0,50.5,0.01,97.0%,1.57,2520
14,segunda,não,outono,25.9,0.0,47.5,1.18,97.0%,4.69,851
4,quinta,não,primavera,19.2,0.0,83.7,0.0,46.0%,2.89,82
12,quinta,não,verão,34.3,0.0,56.6,2.29,97.0%,2.41,1216
17,domingo,não,outono,33.0,1.15,85.2,0.21,14.0%,2.89,334
12,sábado,não,outono,35.3,0.0,65.6,1.01,97.0%,1.33,1293
2,domingo,não,outono,22.4,0.0,69.4,0.0,74.0%,0.85,384
22,segunda,não,verão,38.9,0.0,58.8,0.0,97.0%,1.21,1557
10,quarta,não,primavera,33.5,1.15,89.7,0.05,9.0%,2.29,93
7,segunda,sim,outono,28.1,0.0,64.1,0.02,97.0%,2.77,219
1,quarta,não,inverno,16.9,0.0,41.5,0.0,96.0%,1.57,171
15,sábado,não,outono,27.0,0.0,47.5,1.09,97.0%,4.69,1069
23,domingo,não,verão,34.9,0.0,83.7,0.0,32.0%,0.85,387
12,sexta,não,primavera,34.6,0.0,36.2,3.28,88.0%,3.73,1096
11,quarta,não,primavera,28.7,0.0,63.3,1.44,40.0%,4.69,603
5,segunda,não,inverno,11.4,0.0,53.5,0.0,94.0%,1.45,65
20,quarta,não,primavera,29.9,0.0,58.1,0.01,97.0%,2.53,1985
16,quinta,não,inverno,11.9,0.0,41.5,0.66,96.0%,3.37,165
8,domingo,não,verão,38.5,0.0,64.1,0.65,76.0%,2.41,577
18,domingo,não,outono,32.0,0.0,67.9,0.16,97.0%,1.69,2027
19,sábado,não,outono,28.2,0.0,53.5,0.0,54.0%,1.81,1396
16,segunda,não,verão,34.8,0.0,82.2,0.99,56.0%,1.69,901
15,sexta,não,outono,30.3,0.0,47.5,1.21,59.0%,1.45,1113
4,segunda,não,inverno,17.1,0.0,51.3,0.0,93.0%,1.09,59
9,segunda,não,primavera,27.9,0.0,72.4,0.84,17.0%,1.09,859
18,domingo,não,verão,39.8,0.0,59.6,1.28,86.0%,3.13,1474
7,segunda,não,outono,24.3,0.0,68.6,0.0,76.0%,1.21,1251
6,sexta,não,primavera,23.9,0.0,44.5,0.0,97.0%,0.61,373
1,segunda,não,primavera,22.5,0.0,83.7,0.0,7.0%,2.41,197
7,segunda,não,outono,21.4,0.0,75.4,0.0,97.0%,1.09,1080
12,quinta,não,primavera,32.8,1.73,90.5,0.81,86.0%,1.21,480
4,sábado,não,verão,33.8,0.0,77.7,0.0,95.0%,2.41,316
21,terça,não,primavera,29.5,0.0,77.7,0.0,97.0%,0.97,1463
2,domingo,não,inverno,16.4,0.0,83.0,0.0,61.0%,2.05,273
3,quarta,não,verão,34.7,0.58,91.2,0.0,13.0%,1.21,167
15,quarta,não,outono,27.5,0.0,51.3,0.83,97.0%,4.93,1179
15,quarta,não,inverno,11.1,0.0,40.0,1.06,97.0%,4.81,160
11,sexta,sim,inverno,20.4,0.0,61.1,0.63,39.0%,1.21,288
7,sábado,não,verão,29.7,0.0,63.3,0.47,97.0%,1.57,593
2,quinta,não,outono,31.6,0.0,66.4,0.0,85.0%,2.05,538
16,sexta,não,inverno,15.9,0.0,45.2,0.67,97.0%,5.53,184
23,quinta,não,primavera,28.4,3.46,80.7,0.0,56.0%,5.17,222
22,domingo,não,outono,28.1,0.0,52.8,0.0,97.0%,2.89,12
14,domingo,não,outono,26.6,0.0,72.4,1.06,91.0%,2.53,970
22,quinta,não,inverno,16.1,0.0,43.0,0.0,97.0%,3.13,285
18,quinta,não,verão,40.5,0.0,62.6,0.99,52.0%,2.41,2376
8,sexta,não,verão,35.3,0.0,78.4,0.37,68.0%,2.41,2121
20,terça,não,inverno,15.4,0.0,32.4,0.0,97.0%,7.21,138
12,segunda,não,verão,39.5,0.0,52.0,1.96,88.0%,3.25,814
14,quinta,não,primavera,33.8,0.0,45.2,3.18,78.0%,6.13,1070
19,quarta,não,verão,40.1,0.0,63.3,0.37,97.0%,4.45,1988
10,quarta,não,primavera,20.7,0.0,46.0,0.83,97.0%,1.81,387
16,terça,não,outono,27.8,0.0,46.0,0.91,87.0%,2.65,1199
5,segunda,não,verão,37.9,0.0,59.6,0.0,97.0%,2.17,325
19,quinta,não,verão,40.7,0.0,58.8,0.35,91.0%,3.49,1566
9,quinta,não,inverno,7.5,0.0,43.0,0.19,97.0%,3.73,193
1,sexta,não,primavera,31.0,1.15,91.2,0.0,14.0%,2.05,122
15,segunda,não,outono,27.1,0.0,50.5,1.26,35.0%,1.57,802
23,sexta,não,verão,35.3,0.0,81.4,0.0,93.0%,1.21,1369
10,terça,não,verão,40.1,0.0,50.5,2.31,97.0%,1.69,594
23,segunda,sim,inverno,17.3,0.0,56.6,0.0,92.0%,1.09,167
9,segunda,sim,inverno,15.5,0.0,47.5,0.15,96.0%,1.09,128
19,domingo,não,inverno,14.3,0.0,41.5,0.0,97.0%,4.57,143
15,sábado,não,verão,34.9,0.0,55.0,1.34,97.0%,1.69,2192
18,terça,não,inverno,20.4,0.0,55.8,0.07,97.0%,4.69,616
7,domingo,não,inverno,15.3,0.0,41.5,0.0,97.0%,1.69,64
12,quarta,não,outono,29.2,0.0,43.0,2.13,75.0%,3.73,1155
10,quinta,não,primavera,28.1,0.0,64.1,0.64,46.0%,2.65,576
7,terça,sim,primavera,29.2,0.0,70.1,0.34,85.0%,1.09,457
2,sexta,não,verão,33.9,0.0,77.7,0.0,51.0%,0.73,387
9,terça,não,verão,39.5,0.0,62.6,1.69,83.0%,1.45,931
1,quarta,não,inverno,21.7,0.0,58.1,0.0,27.0%,1.93,234
8,quinta,não,primavera,26.9,0.0,66.4,0.06,38.0%,2.05,353
15,terça,não,primavera,25.1,0.0,43.7,1.19,93.0%,3.01,634
12,domingo,não,primavera,28.8,0.0,52.8,3.05,55.0%,4.93,8
22,sexta,não,primavera,21.9,0.0,65.6,0.0,29.0%,2.41,648
19,segunda,não,primavera,23.9,0.0,56.6,0.01,96.0%,4.21,824
17,segunda,não,outono,36.5,0.0,50.5,1.25,97.0%,3.37,2069
19,segunda,não,primavera,31.3,0.0,60.3,0.29,78.0%,2.17,2459
11,segunda,não,primavera,30.7,0.0,67.1,2.07,23.0%,1.93,958
12,quarta,não,inverno,16.2,0.0,55.0,0.53,84.0%,1.81,218
17,domingo,não,verão,42.1,0.0,51.3,1.69,91.0%,3.13,1238
20,segunda,não,outono,28.9,0.0,79.2,0.0,12.0%,3.61,1667
4,sábado,não,primavera,27.4,0.0,68.6,0.0,25.0%,2.17,172
2,quarta,sim,verão,31.7,0.0,67.1,0.0,70.0%,1.45,802
9,terça,não,outono,26.1,0.0,76.2,0.25,19.0%,1.21,1040
4,terça,não,primavera,29.1,0.0,73.9,0.0,21.0%,1.21,185
20,terça,não,outono,27.4,0.0,70.9,0.0,68.0%,1.93,1448
2,sábado,não,verão,35.1,0.0,79.9,0.0,97.0%,0.49,570
23,terça,não,outono,22.2,0.0,43.7,0.0,37.0%,3.37,598
9,quarta,não,inverno,20.3,0.0,67.9,0.12,15.0%,1.09,349
18,quarta,não,inverno,21.8,0.0,64.9,0.01,25.0%,3.73,512
10,terça,não,outono,35.7,0.0,58.8,2.13,97.0%,2.05,876
2,domingo,não,primavera,26.8,0.0,78.4,0.0,43.0%,4.93,8
5,quarta,não,outono,24.0,0.0,83.7,0.0,51.0%,1.69,169
0,terça,não,inverno,17.7,0.0,73.1,0.0,43.0%,3.01,132
13,terça,não,outono,36.4,0.0,46.8,2.56,97.0%,2.29,1072
18,quinta,não,verão,35.7,0.0,72.4,0.19,52.0%,3.13,1894
10,sexta,não,inverno,13.7,0.0,33.9,1.16,89.0%,4.33,136
22,terça,não,verão,33.3,0.0,89.7,0.0,11.0%,5.17,458
4,quinta,não,inverno,18.6,0.0,57.3,0.0,88.0%,2.17,79
11,quinta,não,primavera,31.9,2.88,92.0,0.25,15.0%,1.33,193
6,domingo,não,outono,22.7,0.0,81.4,0.0,18.0%,1.69,127
6,terça,não,outono,24.9,0.0,74.7,0.0,27.0%,1.45,469
22,quarta,não,inverno,15.5,0.0,54.3,0.0,97.0%,1.45,194
14,terça,não,outono,36.9,0.0,46.0,2.67,97.0%,1.93,1070
20,domingo,não,primavera,25.2,0.0,64.9,0.0,85.0%,2.65,312
2,quinta,não,verão,31.3,0.0,81.4,0.0,19.0%,1.09,737
9,sábado,não,outono,30.5,0.0,61.8,1.24,95.0%,1.93,1085
18,quinta,não,verão,39.9,0.0,48.3,1.04,97.0%,2.77,2489
10,domingo,não,primavera,29.2,0.35,64.9,0.27,80.0%,1.21,493
6,domingo,não,verão,36.2,0.0,70.9,0.0,97.0%,1.09,647
5,segunda,não,primavera,30.6,0.46,83.7,0.0,10.0%,1.21,91
17,terça,não,primavera,28.5,0.0,37.7,1.39,61.0%,1.33,1486
22,terça,não,outono,31.5,0.0,63.3,0.0,97.0%,2.17,15
19,quarta,não,primavera,30.9,0.0,57.3,0.49,97.0%,4.33,2460
17,sábado,não,primavera,21.2,0.0,33.9,1.13,96.0%,3.25,640
2,sexta,não,primavera,19.8,0.0,78.4,0.0,30.0%,1.93,223
20,sábado,não,outono,34.0,0.0,78.4,0.0,79.0%,2.29,1627
20,sexta,não,verão,38.9,0.0,56.6,0.07,97.0%,2.89,1903
22,sábado,não,primavera,22.7,0.0,82.2,0.0,8.0%,3.01,467
22,sexta,não,primavera,26.8,0.0,75.4,0.0,25.0%,2.05,894
20,sexta,não,verão,35.3,0.0,41.5,0.07,97.0%,3.25,2505
9,terça,não,inverno,14.4,0.0,57.3,0.53,94.0%,1.93,297
19,domingo,não,inverno,14.6,0.0,47.5,0.0,97.0%,1.57,172
21,terça,não,outono,23.4,0.0,59.6,0.0,97.0%,2.65,1159
19,quarta,não,inverno,20.9,0.0,46.0,0.0,69.0%,1.93,325
5,terça,não,inverno,13.1,0.0,67.1,0.0,85.0%,3.01,57
2,terça,não,primavera,23.7,0.0,52.0,0.0,97.0%,1.45,276
11,segunda,não,primavera,22.3,0.0,56.6,0.91,91.0%,1.09,449
2,domingo,não,verão,34.7,0.0,62.6,0.0,97.0%,0.61,618
8,domingo,não,outono,21.9,0.0,74.7,0.11,44.0%,0.73,9
4,domingo,não,outono,24.2,0.0,71.6,0.0,74.0%,1.33,216
18,quinta,não,verão,34.3,0.0,64.1,0.26,94.0%,2.05,2969
